,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
22967,Manhattan,40.82607,-73.94481,Private room,85,14,3,0.12,2,125
10896,Manhattan,40.70963,-74.00759000000001,Private room,90,2,71,1.55,1,0
41037,Brooklyn,40.73104,-73.95097,Private room,110,2,5,1.61,1,82
28530,Manhattan,40.87328,-73.91458,Entire home/apt,70,21,7,0.38,1,156
16116,Manhattan,40.726690000000005,-73.98791999999999,Entire home/apt,150,3,35,0.92,1,0
14572,Brooklyn,40.68674,-73.93375,Entire home/apt,135,30,26,0.64,1,365
22714,Brooklyn,40.65319,-73.97621,Entire home/apt,200,2,100,3.78,2,244
19322,Manhattan,40.74459,-73.99061,Private room,108,1,1,0.03,1,0
30837,Manhattan,40.845909999999996,-73.94059,Private room,50,2,2,0.14,1,0
19196,Brooklyn,40.65141,-73.92511999999999,Entire home/apt,75,3,109,3.29,1,232
12100,Manhattan,40.73491,-73.99231,Entire home/apt,250,53,2,0.05,1,365
34973,Brooklyn,40.70398,-73.92168000000001,Private room,52,7,3,0.29,1,0
13380,Queens,40.75164,-73.87644,Private room,50,1,84,2.1,4,302
23437,Brooklyn,40.71445,-73.94593,Private room,65,3,2,0.13,1,0
25446,Manhattan,40.7658,-73.99087,Entire home/apt,139,2,121,5.35,1,82
43455,Queens,40.6083,-73.75787,Private room,45,1,4,2.26,2,54
17082,Brooklyn,40.6829,-73.93935,Private room,60,2,2,0.05,1,0
21073,Manhattan,40.73194,-74.00254,Entire home/apt,164,3,20,0.68,1,0
8540,Brooklyn,40.68527,-73.95307,Private room,53,2,11,0.23,1,0
43837,Queens,40.74508,-73.90290999999999,Shared room,65,2,8,3.04,1,89
26861,Manhattan,40.7617,-73.98931,Private room,150,1,146,7.19,2,60
3093,Brooklyn,40.68135,-73.9046,Private room,41,3,7,0.11,1,0
37849,Queens,40.75507,-73.90741,Entire home/apt,80,3,4,0.61,1,0
11102,Manhattan,40.72917,-73.98517,Private room,180,1,27,0.59,2,0
43068,Brooklyn,40.668890000000005,-73.92376,Private room,49,1,23,7.04,12,48
36442,Manhattan,40.76892,-73.96321,Entire home/apt,160,2,14,1.79,1,170
33495,Manhattan,40.72051,-73.98777,Private room,69,3,1,0.6,5,270
33774,Brooklyn,40.71433,-73.95679,Entire home/apt,120,7,3,0.43,1,230
14974,Brooklyn,40.67832,-73.95128000000001,Private room,60,3,5,0.13,1,0
32940,Manhattan,40.72352,-74.00365,Private room,100,5,2,0.17,3,0
21415,Queens,40.75902,-73.9154,Private room,47,4,39,1.5,2,292
24416,Manhattan,40.79222,-73.94606999999999,Private room,125,1,1,1.0,4,87
43423,Manhattan,40.77961,-73.97821,Private room,160,2,3,1.13,1,61
35843,Brooklyn,40.70807,-73.95681,Entire home/apt,145,4,5,0.53,1,1
20527,Manhattan,40.74753,-74.00395999999999,Entire home/apt,110,3,7,0.31,1,9
42218,Queens,40.75676,-73.91334,Private room,115,1,4,1.05,5,90
35484,Brooklyn,40.679990000000004,-73.94618,Entire home/apt,100,21,2,0.24,1,33
23977,Manhattan,40.73808,-74.00254,Entire home/apt,150,30,3,0.16,1,83
18996,Brooklyn,40.69935,-73.91332,Private room,41,4,4,0.16,1,189
41673,Brooklyn,40.68391,-73.99226,Entire home/apt,190,4,12,3.33,3,207
24935,Manhattan,40.74023,-73.97847,Private room,120,1,14,0.59,1,0
35709,Brooklyn,40.70685,-73.94796,Entire home/apt,150,10,1,0.11,2,0
18005,Brooklyn,40.6892,-73.97474,Private room,120,3,92,2.57,1,130
910,Brooklyn,40.71417,-73.95917,Entire home/apt,200,30,53,0.6,1,0
45839,Brooklyn,40.691179999999996,-73.93476,Private room,68,1,5,3.13,3,16
10287,Brooklyn,40.69533,-73.92053,Private room,109,2,105,2.25,2,244
6088,Manhattan,40.7982,-73.97119,Entire home/apt,130,5,9,0.16,1,0
46705,Queens,40.75103,-73.8913,Private room,85,1,2,2.0,1,42
18180,Brooklyn,40.69559,-73.90796,Entire home/apt,100,2,152,4.29,1,251
5428,Manhattan,40.82035,-73.95529,Private room,99,1,75,1.31,2,361
39434,Brooklyn,40.679990000000004,-73.90701,Private room,55,1,3,1.5,6,163
2821,Queens,40.77787,-73.91471999999999,Entire home/apt,188,2,260,3.97,1,312
15546,Manhattan,40.7164,-73.99743000000001,Entire home/apt,175,30,4,0.11,1,0
42214,Manhattan,40.84332,-73.93829000000001,Private room,45,1,20,4.88,3,227
7598,Queens,40.718109999999996,-73.83368,Private room,59,4,138,2.69,1,35
47239,Brooklyn,40.70924,-73.95208000000001,Private room,57,2,3,3.0,1,29
20428,Manhattan,40.828140000000005,-73.9378,Private room,66,3,78,2.49,1,55
39716,Manhattan,40.77382,-73.9535,Entire home/apt,160,2,6,0.95,1,11
12692,Manhattan,40.799890000000005,-73.95213000000001,Entire home/apt,120,30,33,0.81,1,247
1990,Brooklyn,40.68586,-73.95875,Entire home/apt,100,3,7,0.11,1,0
36492,Queens,40.763220000000004,-73.91131999999999,Private room,80,1,7,0.76,1,85
32009,Brooklyn,40.67604,-73.95071,Entire home/apt,150,3,27,2.09,3,288
18325,Manhattan,40.76377,-73.98734,Entire home/apt,175,3,1,0.03,1,0
16990,Queens,40.75946,-73.91173,Private room,70,10,3,0.4,2,250
30258,Manhattan,40.839209999999994,-73.93535,Entire home/apt,120,4,10,0.6,1,4
34990,Manhattan,40.76209,-73.99875,Entire home/apt,300,2,12,1.14,2,2
21590,Brooklyn,40.711859999999994,-73.95402,Entire home/apt,144,2,24,1.43,1,14
