,Bronx,latitude,longitude,room_type,price,minimum_nights,reviews_per_month,availability_365
2140,Brooklyn,40.73051,-73.9814,Entire home/apt,10,30,0,137
11881,Brooklyn,40.69085,-73.79916,Entire home/apt,10,1,1.68,252
14609,Manhattan,40.72421,-73.95364,Entire home/apt,10,1,4.73,32
16486,Manhattan,40.74408,-73.97803,Private room,10,5,2.87,2
17486,Manhattan,40.66242,-73.99464,Entire home/apt,10,1,1.06,4
17773,Manhattan,40.68939,-73.79886,Entire home/apt,10,2,1.76,332
17957,Manhattan,40.70959,-73.95693,Private room,10,1,0,83
18648,Manhattan,40.83454,-73.92751,Private room,10,1,0,180
19326,Manhattan,40.69139,-73.86086,Private room,10,7,0.41,180
10808,Brooklyn,40.68994,-73.91556,Entire home/apt,11,2,3.86,261
19044,Manhattan,40.72514,-73.89845,Shared room,11,1,0,245
27932,Queens,40.799,-73.96315,Entire home/apt,11,7,0,273
14633,Manhattan,40.74045,-74.00047,Private room,12,3,0.59,37
28972,Queens,40.73954,-73.92095,Shared room,12,1,0,359
27568,Queens,40.63136,-74.12559,Shared room,13,1,5.51,8
14996,Manhattan,40.69329,-73.91328,Shared room,15,30,0.16,344
17922,Manhattan,40.73753,-73.87054,Shared room,15,1,1.71,271
27145,Queens,40.75498,-73.83423,Entire home/apt,15,2,0,361
29772,Queens,40.76279,-73.99463,Entire home/apt,15,2,0,139
3160,Brooklyn,40.76866,-73.95553,Entire home/apt,16,2,1.69,9
5079,Brooklyn,40.82159,-73.95013,Private room,16,2,1.66,154
30263,Queens,40.73657,-73.85088,Entire home/apt,16,9,1,322
10269,Brooklyn,40.68313,-73.87077,Shared room,19,2,2.4,120
14984,Manhattan,40.68411,-73.79688,Shared room,19,1,1.4,138
22106,Manhattan,40.68622,-73.92639,Shared room,19,30,0.17,339
23126,Manhattan,40.74038,-73.86964,Shared room,19,1,2.78,236
744,Bronx,40.62109,-74.16534,Private room,20,3,0.92,226
10168,Brooklyn,40.70735,-73.89343,Private room,20,7,0,89
10920,Brooklyn,40.64471,-73.9495,Shared room,20,30,0.09,365
11226,Brooklyn,40.71269,-73.96409,Private room,20,14,0.11,277
11248,Brooklyn,40.84034,-73.83007,Shared room,20,1,4.09,5
14675,Manhattan,40.84344,-73.93922,Private room,20,1,1.1,291
16266,Manhattan,40.61379,-73.96826,Private room,20,3,0.26,18
18097,Manhattan,40.7073,-73.92776,Private room,20,1,0.73,1
20660,Manhattan,40.68547,-73.79063,Entire home/apt,20,1,13.11,41
20901,Manhattan,40.61979,-73.98886,Private room,20,1,1.66,14
22668,Manhattan,40.84047,-73.87127,Shared room,20,14,0.48,139
22758,Manhattan,40.84119,-73.87049,Shared room,20,10,0.32,114
22789,Manhattan,40.84087,-73.8699,Shared room,20,10,0.68,25
22959,Manhattan,40.68093,-73.94922,Private room,20,10,0.57,17
22975,Manhattan,40.67872,-73.94805,Private room,20,10,1.4,38
23372,Manhattan,40.68694,-73.92732,Shared room,20,30,0,342
25995,Manhattan,40.80298,-73.95375,Shared room,20,1,0,2
26482,Queens,40.86209,-73.84667,Shared room,20,1,0,5
27168,Queens,40.59842,-73.95667,Shared room,20,2,0.77,342
27226,Queens,40.59932,-73.95936,Shared room,20,7,0,281
27862,Queens,40.60911,-73.95257,Shared room,20,2,0,32
28942,Queens,40.61819,-74.03296,Shared room,20,1,1,353
16329,Manhattan,40.73739,-73.86991,Shared room,21,1,1.64,260
18129,Manhattan,40.69124,-73.93911,Shared room,21,1,2.92,78
24818,Manhattan,40.60331,-73.95082,Private room,21,1,1.02,90
8922,Brooklyn,40.83736,-73.92318,Private room,22,3,0.39,42
10313,Brooklyn,40.62531,-73.93414,Shared room,22,1,1.28,160
10926,Brooklyn,40.65151,-73.94957,Shared room,22,30,0,365
14854,Manhattan,40.64429,-73.95732,Entire home/apt,22,2,1.83,312
15358,Manhattan,40.65686,-73.95758,Private room,22,7,0.3,5
18423,Manhattan,40.62972,-74.12539,Private room,22,1,1.77,261
27972,Queens,40.85743,-73.90233,Shared room,22,1,0.83,11
15290,Manhattan,40.64663,-73.96187,Shared room,23,1,3.27,58
16491,Manhattan,40.83139,-73.90166,Private room,23,2,1.25,36
24313,Manhattan,40.74147,-73.86753,Shared room,23,1,2.12,308
20732,Manhattan,40.67745,-73.90958,Shared room,24,1,1.65,89
21303,Manhattan,40.67916,-73.9114,Shared room,24,1,1.49,85
22495,Manhattan,40.74878,-73.8799,Private room,24,30,0,244
25982,Manhattan,40.74116,-73.86667,Shared room,24,1,1.52,346
25985,Manhattan,40.74086,-73.86618,Shared room,24,1,1.11,332
26570,Queens,40.67326,-73.95367,Shared room,24,5,3.33,14
27530,Queens,40.86025,-73.92647,Private room,24,10,0,145
2749,Brooklyn,40.68642,-73.9344,Shared room,25,5,1.22,258
3997,Brooklyn,40.8423,-73.87055,Private room,25,30,0.17,219
5282,Brooklyn,40.66913,-73.93199,Private room,25,2,0.27,158
5285,Brooklyn,40.70645,-73.9379,Shared room,25,1,0.5,358
6374,Brooklyn,40.64601,-73.94886,Shared room,25,30,0.18,343
6552,Brooklyn,40.64603,-73.94869,Shared room,25,30,0.12,365
6970,Brooklyn,40.68624,-73.94349,Private room,25,1,0.19,8
7315,Brooklyn,40.6074,-73.97458,Shared room,25,3,2.9,349
10415,Brooklyn,40.64583,-73.9483,Shared room,25,30,0.32,332
10427,Brooklyn,40.69501,-73.93363,Entire home/apt,25,2,1.65,6
10762,Brooklyn,40.82261,-73.95163,Private room,25,2,3.33,99
10886,Brooklyn,40.84353,-73.94201,Private room,25,3,1.46,139
12148,Brooklyn,40.69674,-73.92972,Shared room,25,1,4.22,82
12576,Brooklyn,40.66168,-73.86665,Private room,25,1,1.17,319
13868,Manhattan,40.83555,-73.8757,Private room,25,3,1.82,119
14138,Manhattan,40.81956,-73.95277,Shared room,25,3,2.99,7
14189,Manhattan,40.70031,-73.92848,Private room,25,2,1.8,3
14209,Manhattan,40.6847,-73.92904,Private room,25,1,0.19,34
14918,Manhattan,40.67206,-73.93446,Private room,25,4,0.37,174
14946,Manhattan,40.69916,-73.8892,Private room,25,1,6.18,258
15329,Manhattan,40.70148,-73.88954,Private room,25,2,4.29,254
15330,Manhattan,40.70099,-73.89034,Private room,25,1,5.59,216
15497,Manhattan,40.6865,-73.93199,Private room,25,30,0.58,207
15516,Manhattan,40.70419,-73.75116,Private room,25,3,3.61,350
15581,Manhattan,40.84502,-73.94078,Shared room,25,1,2.99,365
15922,Manhattan,40.67799,-73.94222,Shared room,25,2,0.81,81
17359,Manhattan,40.72105,-73.73444,Entire home/apt,25,1,3.37,292
17416,Manhattan,40.64795,-73.89337,Private room,25,2,2.76,144
18063,Manhattan,40.6757,-73.87657,Shared room,25,2,2.25,50
18923,Manhattan,40.64047,-73.99687,Shared room,25,3,0.77,88
19384,Manhattan,40.68276,-73.8708,Shared room,25,4,1.91,16
19385,Manhattan,40.68385,-73.87088,Shared room,25,1,2.57,23
19388,Manhattan,40.68217,-73.8723,Shared room,25,1,2.52,2
19788,Manhattan,40.74056,-73.86446,Shared room,25,2,1.77,330
20227,Manhattan,40.66017,-73.9475,Shared room,25,2,0.53,365
20231,Manhattan,40.70652,-73.91784,Shared room,25,4,1.56,62
20233,Manhattan,40.70431,-73.91584,Shared room,25,4,1.88,80
20322,Manhattan,40.70442,-73.91707,Shared room,25,4,3.01,49
20787,Manhattan,40.66192,-73.94668,Shared room,25,2,0.13,365
20979,Manhattan,40.75805,-73.90927,Private room,25,7,0.29,66
21816,Manhattan,40.5981,-73.9584,Shared room,25,7,1.15,290
22258,Manhattan,40.66745,-73.89217,Private room,25,1,3.61,211
22910,Manhattan,40.61355,-73.99648,Private room,25,5,1.23,175
23124,Manhattan,40.74057,-73.86975,Private room,25,1,2.79,231
23314,Manhattan,40.88449,-73.86227,Private room,25,30,0,85
23684,Manhattan,40.67804,-73.80122,Private room,25,1,9.23,41
24023,Manhattan,40.67302,-73.92134,Shared room,25,2,0.21,29
24662,Manhattan,40.68637,-73.97431,Shared room,25,2,1.95,32
25264,Manhattan,40.84581,-73.8889,Shared room,25,2,1.6,146
