,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,reviews_per_month,availability_365
29900,Queens,40.68588,-73.77823000000002,Private room,69,3,0.0,365
17219,Brooklyn,40.72678,-73.95087,Private room,156,1,2.33,4
24922,Manhattan,40.74362,-73.98207,Entire home/apt,388,3,3.61,246
15514,Manhattan,40.74144,-73.99984,Entire home/apt,299,2,0.0,2
79,Brooklyn,40.68233,-73.97261,Entire home/apt,131,4,3.4,207
23498,Brooklyn,40.71144,-73.95576,Entire home/apt,175,2,0.99,14
21845,Manhattan,40.75231,-73.98924,Entire home/apt,238,30,0.16,322
17172,Manhattan,40.77735,-73.96222,Entire home/apt,425,3,3.85,106
14931,Manhattan,40.81244,-73.95260999999998,Private room,67,2,0.42,3
1861,Brooklyn,40.71737,-73.96396,Entire home/apt,240,1,1.08,116
24926,Manhattan,40.76329000000001,-73.96119,Private room,109,4,0.0,101
16329,Queens,40.73739000000001,-73.86991,Shared room,21,1,1.64,260
12825,Manhattan,40.72818,-73.98925,Private room,95,2,0.04,54
10746,Manhattan,40.77251,-73.95430999999998,Entire home/apt,100,30,1.18,250
6213,Brooklyn,40.69428,-73.90679,Private room,45,2,0.34,34
7084,Manhattan,40.72148,-73.99580999999998,Private room,105,2,1.03,35
15864,Brooklyn,40.63255,-73.90742,Private room,70,2,1.58,53
4608,Brooklyn,40.68182,-73.95152,Private room,70,1,0.94,359
18984,Brooklyn,40.65625,-73.9218,Private room,80,1,7.0,345
22556,Manhattan,40.76547,-73.99032,Entire home/apt,285,2,1.4,44
9049,Manhattan,40.80719000000001,-73.95303,Entire home/apt,49,4,3.88,279
10222,Brooklyn,40.67567,-73.93744000000002,Entire home/apt,158,4,1.92,264
22360,Brooklyn,40.69979,-73.93158000000003,Entire home/apt,130,3,0.63,6
19842,Queens,40.768,-73.92388000000003,Private room,45,30,0.0,246
1306,Brooklyn,40.7176,-73.95234,Entire home/apt,200,10,0.09,174
